Alt: 2250.21 m | T: 273.53 K | P: 77060.32 Pa | D: 0.98 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 331.52 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 2410.87 m | T: 272.49 K | P: 75527.42 Pa | D: 0.97 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 330.89 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 2577.67 m | T: 271.40 K | P: 73962.18 Pa | D: 0.95 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 330.23 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 2750.59 m | T: 270.28 K | P: 72367.47 Pa | D: 0.93 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 329.54 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 2929.70 m | T: 269.12 K | P: 70745.17 Pa | D: 0.92 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 328.83 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 3114.96 m | T: 267.91 K | P: 69098.41 Pa | D: 0.90 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 328.10 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 3306.45 m | T: 266.67 K | P: 67429.13 Pa | D: 0.88 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 327.34 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 3504.10 m | T: 265.39 K | P: 65740.67 Pa | D: 0.86 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 326.55 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 3707.99 m | T: 264.06 K | P: 64035.02 Pa | D: 0.84 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 325.73 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 3918.04 m | T: 262.70 K | P: 62315.68 Pa | D: 0.83 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 324.89 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 4134.32 m | T: 261.29 K | P: 60584.65 Pa | D: 0.81 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 324.02 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 4356.72 m | T: 259.85 K | P: 58845.54 Pa | D: 0.79 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 323.12 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 4585.34 m | T: 258.37 K | P: 57100.34 Pa | D: 0.77 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 322.20 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 4820.92 m | T: 256.84 K | P: 55346.21 Pa | D: 0.75 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 321.24 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 5063.55 m | T: 255.26 K | P: 53585.57 Pa | D: 0.73 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 320.26 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 5313.18 m | T: 253.64 K | P: 51821.84 Pa | D: 0.71 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 319.24 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 5569.92 m | T: 251.98 K | P: 50057.44 Pa | D: 0.69 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 318.19 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 5833.68 m | T: 250.27 K | P: 48295.85 Pa | D: 0.67 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 317.11 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 6104.57 m | T: 248.51 K | P: 46539.42 Pa | D: 0.65 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 315.99 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 6382.49 m | T: 246.71 K | P: 44791.66 Pa | D: 0.63 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 314.84 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 6667.55 m | T: 244.86 K | P: 43054.82 Pa | D: 0.61 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 313.66 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 6959.62 m | T: 242.96 K | P: 41332.33 Pa | D: 0.59 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 312.45 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 7258.80 m | T: 241.02 K | P: 39626.33 Pa | D: 0.57 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 311.20 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 7564.97 m | T: 239.04 K | P: 37940.16 Pa | D: 0.55 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 309.91 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 7878.22 m | T: 237.00 K | P: 36275.76 Pa | D: 0.53 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 308.59 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 8198.40 m | T: 234.93 K | P: 34636.33 Pa | D: 0.51 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 307.24 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 8525.60 m | T: 232.81 K | P: 33023.59 Pa | D: 0.49 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 305.85 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 8859.65 m | T: 230.64 K | P: 31440.53 Pa | D: 0.47 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 304.42 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 9200.66 m | T: 228.43 K | P: 29888.66 Pa | D: 0.46 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 302.96 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 9548.41 m | T: 226.18 K | P: 28370.70 Pa | D: 0.44 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 301.46 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 9903.01 m | T: 223.88 K | P: 26887.89 Pa | D: 0.42 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 299.93 m/s | V_w: [0.00, 0.00, 0.00] m/s
